,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings
,aco1,aco2,aco3,aco4,aco1,aco2,aco3,aco4,aco1,aco2,aco3,aco4,aco1,aco2,aco3,aco4,aco1,aco2,aco3,aco4
p_hat300-3.clq.txt n=300 e=33390,"[164, 228, 68, 85, 72, 26, 237]","[201, 172, 141, 237, 81, 242, 117, 182]","[1, 202, 171, 237, 277, 217, 59, 63]","[2, 7, 264, 201, 79, 22, 247, 91]",7,8,8,True,True,True,True,True,4.034181594848633,61.01713037490845,20.42025876045227,306.5175654888153,,,,
hamming8-4.clq.txt n=256 e=20864,"[69, 197, 209, 81, 212, 85, 213, 87, 215, 21, 84, 149, 93, 221, 117, 245]","[199, 211, 213, 214, 215, 151, 183, 87, 247, 223, 231, 243, 245, 246, 119, 255]","[67, 71, 73, 74, 203, 75, 77, 78, 79, 207, 15, 11, 91, 95, 107, 111]","[64, 68, 16, 81, 82, 208, 20, 85, 86, 212, 88, 84, 80, 92, 112, 116]",16,16,16,True,True,True,True,True,3.034593343734741,45.50599431991577,15.121243715286255,227.2380633354187,,,,
DSJC1000.5.clq.txt n=1000 e=249826,"[129, 485, 550, 73, 715, 876, 111, 719, 758, 824, 443, 255]",set(),set(),set(),12,0,0,False,True,False,False,False,456.8365442752838,1800.0,1800.0,1800.0,,TIMEOUT,TIMEOUT,TIMEOUT
brock800_4.clq.txt n=800 e=207643,"[547, 714, 493, 111, 601, 122, 92, 734]",set(),"[0, 648, 714, 749, 403, 248, 665, 475, 62]",set(),8,0,9,False,True,False,True,False,176.32242155075073,1800.0,870.7223682403564,1800.0,,TIMEOUT,,TIMEOUT
C1000.9.clq.txt n=1000 e=450079,"[115, 548, 660, 186, 911]",set(),"[145, 774, 534, 603, 700]",set(),5,0,5,False,True,False,True,False,187.07134628295898,1800.0,923.9468338489532,1800.0,,TIMEOUT,,TIMEOUT
gen400_p0.9_65.txt n=400 e=71820,"[65, 337, 252, 56, 73, 346, 332]","[261, 373, 278, 312, 109, 334, 239]","[49, 188, 244, 281, 58, 76, 95]","[356, 132, 165, 343, 168, 203, 60]",7,7,7,True,True,True,True,True,3.1067614555358887,45.580626249313354,15.264649629592896,227.9138743877411,,,,
keller5.clq.txt n=776 e=225990,"[704, 705, 514, 515, 578, 579, 518, 519, 582, 583, 716, 717, 720, 721, 503, 749, 750, 752, 562, 563, 498, 499, 566, 567, 502, 762, 763, 700, 701, 766, 767]","[704, 705, 514, 515, 450, 451, 518, 519, 648, 649, 454, 651, 455, 716, 717, 720, 721, 661, 662, 665, 666, 503, 434, 435, 498, 499, 438, 439, 502, 700, 701]","[515, 516, 451, 452, 519, 520, 455, 456, 531, 532, 467, 468, 535, 536, 471, 472, 287, 288, 291, 292, 232, 233, 236, 237, 303, 304, 242, 307, 308, 243, 244]",set(),31,31,31,False,True,True,True,False,75.57803463935852,1007.3689112663269,341.1068284511566,1800.0,,,,TIMEOUT
C500.9.clq.txt n=500 e=112332,"[368, 470, 219, 76, 255]","[144, 401, 371, 467, 62]","[401, 371, 467, 278, 46]","[304, 433, 328, 456, 220]",5,5,5,True,True,True,True,True,6.3758344650268555,95.88552927970886,31.996777534484863,478.96434473991394,,,,
p_hat700-3.clq.txt n=700 e=183010,"[613, 42, 556, 301, 588, 12, 90, 157]","[613, 138, 171, 203, 493, 205, 143, 400, 402]","[641, 673, 99, 644, 560, 567, 215, 156]",set(),8,9,8,False,True,True,True,False,66.464359998703,950.9908292293549,279.11575841903687,1800.0,,,,TIMEOUT
gen200_p0.9_55.txt n=200 e=17910,"[9, 132, 85, 118]","[96, 84, 183, 14, 47]","[96, 84, 183, 14, 47]","[96, 84, 183, 14, 47]",4,5,5,True,True,True,True,True,0.2808856964111328,4.513583660125732,1.4720003604888916,22.49536895751953,,,,
MANN_a27.clq.txt n=378 e=70551,"[171, 172, 173]","[280, 281, 279]","[240, 241, 242]","[296, 294, 295]",3,3,3,True,True,True,True,True,1.8375368118286133,27.629367351531982,9.19451117515564,138.31748175621033,,,,
p_hat300_1.clq.txt n=300 e=10933,"[256, 5, 143, 15, 277, 281, 26, 33, 35, 166, 294, 168, 172, 177, 185, 186, 190, 63, 64, 65, 68, 200, 209, 84, 95, 98, 101, 232, 233, 111, 115, 116]","[131, 11, 142, 277, 22, 154, 294, 168, 172, 45, 185, 186, 59, 188, 64, 194, 68, 201, 80, 84, 223, 96, 98, 99, 227, 229, 237, 112, 240, 113, 115, 242, 117, 247, 251]","[1, 260, 264, 9, 11, 268, 141, 277, 281, 283, 157, 40, 45, 181, 182, 186, 59, 61, 68, 197, 201, 203, 77, 209, 81, 211, 232, 240, 113, 242, 112, 117, 247]","[0, 260, 133, 7, 9, 139, 11, 146, 277, 22, 281, 154, 181, 182, 186, 59, 188, 61, 190, 64, 68, 72, 73, 201, 77, 79, 81, 223, 98, 235, 237, 241, 242, 113, 117, 247]",32,35,33,True,True,True,True,True,14.01559567451477,207.70658946037292,69.55926132202148,1044.0007243156433,,,,
p_hat1500-1.clq.txt n=1500 e=284923,"[769, 1287, 904, 523, 653, 1428, 413, 158, 1310, 1439, 808, 297, 426, 1450, 429, 1454, 304, 566, 827, 1469, 61, 573, 64, 832, 453, 838, 328, 457, 1360, 721, 82, 1363, 851, 854, 1239, 218, 475, 608, 1121, 98, 742, 1128, 1002, 1387, 1265, 242, 116, 501, 886, 377, 1275, 381]",set(),set(),set(),52,0,0,False,True,False,False,False,1615.5684578418732,1800.0,1800.0,1800.0,,TIMEOUT,TIMEOUT,TIMEOUT
p_hat1500-2.clq.txt n=1500 e=284923,"[514, 517, 262, 393, 523, 907, 398, 399, 1301, 923, 284, 413, 926, 799, 416, 1439, 549, 1189, 936, 1321, 811, 45, 430, 304, 1205, 310, 1082, 1083, 572, 827, 1214, 61, 65, 577, 323, 1356, 1485, 80, 82, 1112, 219, 1122, 994, 1126, 358, 488, 616, 492, 1391, 1394, 630, 1271, 886, 765, 1278, 639]",set(),set(),set(),56,0,0,False,True,False,False,False,1495.5915400981903,1800.0,1800.0,1800.0,,TIMEOUT,TIMEOUT,TIMEOUT
hamming10-4.clq.txt n=1024 e=434176,"[465, 469, 481, 503, 485, 505, 496, 433, 1009, 369, 497, 437, 499, 241, 245, 1013, 500, 501, 373, 509]","[834, 838, 840, 778, 842, 586, 970, 782, 844, 843, 334, 846, 590, 847, 974, 858, 862, 874, 878, 330]","[2, 3, 4, 5, 134, 263, 6, 519, 518, 7, 135, 262, 14, 15, 71, 22, 23, 70, 38, 39]",set(),20,20,20,False,True,True,True,False,84.57812762260437,1268.21737408638,421.25710463523865,1800.0,,,,TIMEOUT
MANN_a45.clq.txt n=1035 e=533115,"[939, 940, 941]","[537, 538, 539]","[296, 294, 295]",set(),3,3,3,False,True,True,True,False,81.60012578964233,1220.4241285324097,406.04321122169495,1800.0,,,,TIMEOUT
brock400_2.clq.txt n=400 e=59786,"[131, 243, 200, 187, 237, 270, 303]","[165, 279, 232, 299, 76, 253, 63]","[131, 243, 200, 187, 237, 270, 303]","[224, 272, 306, 242, 73, 11, 60]",7,7,7,True,True,True,True,True,8.56512975692749,131.00418257713318,44.475329875946045,666.8584926128387,,,,
brock400_4.clq.txt n=400 e=59765,"[294, 7, 360, 104, 45, 366]","[4, 5, 42, 108, 29, 318, 351]","[368, 321, 159, 51, 148, 245, 303]","[244, 215, 91, 235, 140, 317, 95]",6,7,7,True,True,True,True,True,9.089402675628662,139.8419632911682,43.96955966949463,638.7847356796265,,,,
p_hat300-2.clq.txt n=300 e=21928,"[194, 68, 7, 9, 201, 142, 271, 206, 274, 277, 21, 85, 154, 283, 288, 227, 233, 235, 45, 237, 242, 247]","[131, 68, 7, 72, 11, 206, 16, 209, 274, 154, 91, 223, 227, 229, 294, 233, 45, 237, 110, 111, 177, 240, 242, 247]","[131, 68, 5, 7, 11, 15, 16, 209, 277, 283, 223, 98, 229, 294, 237, 111, 240, 177, 112, 242, 182, 247, 185, 188]","[0, 194, 131, 68, 7, 142, 14, 209, 277, 85, 154, 283, 156, 288, 98, 229, 294, 45, 237, 111, 242, 117, 182, 247, 186]",22,24,24,True,True,True,True,True,11.60966181755066,178.7261369228363,59.89819073677063,878.9208068847656,,,,
