,Result,Size Result,Is MIS,Time,Warnings
,wizard_material_pouch,wizard_material_pouch,wizard_material_pouch,wizard_material_pouch,wizard_material_pouch
CUBICAL n=8 e=12,"[1, 3, 4, 6]",4,True,1.2677459716796875,
K3 n=6 e=7,"[0, 2, 4]",3,True,0.9525279998779297,
P3 n=3 e=2,"[0, 2]",2,True,0.5482230186462402,
SQUARE_TRIANGLE n=6 e=7,"[0, 3, 4]",3,True,0.942147970199585,
