,Result,Result,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings,Warnings,Warnings
,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic,ils,tabu,"sa (t 25000, c 2000)","sa (t 2500, c 200)",grasp,genetic
gen200_p0.9_44.txt n=200 e=17910,"[71, 199, 11, 27, 75]","[1, 97, 36, 41, 91]","[1, 33, 30, 31]","[121, 8, 137, 10, 78]","[19, 100, 139, 172, 190]","[11, 76]",5,5,4,5,5,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.1757090092,0.113476038,787.813463,10.65408182,0.09564304352,3.495128632,,,,,,
gen200_p0.9_55.txt n=200 e=17910,"[64, 115, 164, 190]","[16, 1, 130, 68]","[1, 198, 184, 27, 47]","[161, 2, 116, 33]","[64, 115, 164, 197, 190, 46]","[42, 110]",4,4,5,4,6,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.1059794426,0.1130232811,813.1664071,10.33880353,0.08852648735,5.681742907,,,,,,
gen400_p0.9_55.txt n=400 e=71820,"[385, 3, 9, 41, 151, 249, 28, 93]","[1, 163, 342, 168, 90, 269, 63]",set(),"[48, 353, 66, 291, 68, 95]","[337, 100, 261, 116, 312, 56, 111]","[165, 177, 345]",8,7,0,6,7,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1.053281784,0.5176362991,1800,27.37428927,1.141065359,298.6459985,,,TIMEOUT,,,
gen400_p0.9_65.txt n=400 e=71820,"[64, 288, 258, 180, 150, 399]","[361, 102, 29, 1]",set(),"[321, 307, 100, 22, 87, 333]","[336, 385, 311, 89, 397, 57]","[126, 303, 324]",6,4,0,6,6,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1.122311592,0.6621997356,1800,30.80075169,1.357552767,152.1870239,,,TIMEOUT,,,
gen400_p0.9_75.txt n=400 e=71820,"[33, 177, 247, 88, 313, 45]","[1, 315, 69, 206]",set(),"[80, 310, 200, 110, 254, 15]","[81, 165, 23, 346, 206]","[57, 309, 311]",6,4,0,6,5,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1.260173321,0.3474898338,1800,32.57368898,0.7651336193,85.93697977,,,TIMEOUT,,,
hamming10-4.clq.txt n=1024 e=434176,set(),"[1, 3, 4, 5, 6, 7, 71, 263, 135, 519, 261, 517, 15, 23, 37, 39]",set(),"[130, 138, 160, 674, 418, 34, 163, 166, 162, 168, 42, 682, 171, 426, 174, 170, 234, 186]",set(),set(),0,16,0,18,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,1.845402241,1800,126.1351891,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
hamming8-4.clq.txt n=256 e=20864,set(),"[2, 3, 4, 5, 6, 7, 71, 135, 134, 70, 14, 15, 22, 23, 38, 39]","[0, 1, 2, 3, 4, 5, 6, 7]","[204, 205, 92, 220, 252, 212, 253, 216, 217, 156, 221, 222, 223]","[134, 138, 140, 206, 143, 142, 14, 214, 218, 220, 94, 222, 158, 223, 238, 174, 175, 252, 246, 254, 250, 190, 126, 255]","[16, 52, 56, 60, 92, 112, 116, 120]",0,16,8,13,24,8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1800,0.08812332153,601.5088761,11.79998136,685.0456533,432.4953351,TIMEOUT,,,,,
keller4.clq.txt n=171 e=9435,"[160, 163, 7, 10, 143, 146, 19, 22, 23, 26, 156, 159]","[65, 67, 68, 17, 20, 53, 57, 28, 30, 31]","[96, 68, 40, 45, 111, 83, 20, 87, 30]","[128, 67, 68, 131, 70, 111, 112, 115, 116, 57, 58, 61, 127]","[6, 8, 9, 10, 11, 144, 145, 146, 147, 20, 21, 22, 25, 26, 157, 158, 159, 162, 163]","[20, 22, 66, 68]",12,10,9,13,19,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,25.59234428,0.04221057892,286.7017519,8.672418118,18.09922099,13.59925508,,,,,,
keller5.clq.txt n=776 e=225990,set(),"[258, 259, 79, 80, 211, 212, 84, 214, 83, 275, 219, 221, 37, 38, 40, 254, 255]",set(),"[448, 384, 645, 646, 447, 654, 658, 608, 609, 617, 618, 363, 364, 427, 622, 367, 431, 432, 621, 368, 379, 380, 443, 444, 383]",set(),set(),0,17,0,25,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1800,0.9811220169,1800,74.85304046,1800,1800,TIMEOUT,,TIMEOUT,,TIMEOUT,TIMEOUT
MANN_a27.clq.txt n=378 e=70551,"[273, 274, 275]","[27, 28, 29]",set(),"[90, 91, 92]","[136, 137, 135]","[3, 43]",3,3,0,3,3,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.5075137615,0.3287508488,1800,25.01063585,0.2178976536,4.172856331,,,TIMEOUT,,,
