,Result,Result,Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Time,Time,Time,Warnings,Warnings,Warnings
,exact,heuristic,local search,exact,heuristic,local search,exact,heuristic,local search,exact,heuristic,local search,exact,heuristic,local search
C250.9.clq.txt n=250 e=27984,"[57, 89, 104, 121]","[74, 89, 1]","[104, 89, 121, 57]",4,3,4,True,True,True,0.07759976387023926,0.0014717578887939453,0.003300189971923828,,,
C125.9.clq.txt n=125 e=6963,"[57, 89, 104, 121]","[74, 89, 1]","[104, 89, 121, 57]",4,3,4,True,True,True,0.07759976387023926,0.0014717578887939453,0.003300189971923828,,,
